State,County,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed
Texas,Jack,0,8839,1896,21.5,null
Texas,Jackson,0,14756,3317,22.5,null
Texas,Jasper,6,35444,8797,24.8,1466
Texas,Jeff Davis,0,2236,965,43.2,null
Texas,Jefferson,88,254574,49559,19.5,563
Texas,Jim Hogg,0,5262,1372,26.1,null
Texas,Jim Wells,8,41318,8333,20.2,1042
Texas,Johnson,35,160173,30241,18.9,864
Texas,Jones,0,19969,3893,19.5,null
Texas,Karnes,0,15051,2900,19.3,null
Texas,Kaufman,8,114852,19451,16.9,2431
Texas,Kendall,0,40306,10163,25.2,null
Texas,Kenedy,0,564,89,15.8,null
Texas,Kent,0,680,229,33.7,null
Texas,Kerr,12,50761,17362,34.2,1447
Texas,Kimble,0,4432,1738,39.2,null
Texas,King,0,289,32,11.1,null
Texas,Kinney,0,3631,854,23.5,null
Texas,Kleberg,10,31540,5398,17.1,540
Texas,Knox,0,3753,948,25.3,null
Texas,Lamar,20,49401,12011,24.3,601
Texas,Lamb,0,13368,2865,21.4,null
Texas,Lampasas,0,20473,5172,25.3,null
Texas,La Salle,0,7418,1516,20.4,null
Texas,Lavaca,3,19859,6001,30.2,2000
Texas,Lee,0,16850,4236,25.1,null
Texas,Leon,0,16966,5181,30.5,null
Texas,Liberty,0,79884,14641,18.3,null
Texas,Limestone,6,23480,5738,24.4,956
Texas,Lipscomb,0,3495,732,20.9,null
Texas,Live Oak,0,12043,3164,26.3,null
Texas,Llano,0,20195,9184,45.5,null
Texas,Loving,0,74,29,39.2,null
Texas,Lubbock,267,298042,49312,16.5,185
Texas,Lynn,0,5785,1293,22.4,null
Texas,McCulloch,0,8145,2448,30.1,null
Texas,McLennan,54,245720,46694,19,865
Texas,McMullen,0,600,185,30.8,null
Texas,Madison,0,13979,2846,20.4,null
Texas,Marion,0,10140,3384,33.4,null
Texas,Martin,0,5547,899,16.2,null
Texas,Mason,0,4122,1351,32.8,null
Texas,Matagorda,6,36744,8504,23.1,1417
Texas,Maverick,10,57471,8834,15.4,883
Texas,Medina,0,48548,10696,22,null
Texas,Menard,0,2123,708,33.3,null
Texas,Midland,48,159883,24676,15.4,514
Texas,Milam,0,24479,6636,27.1,null
Texas,Mills,0,4887,1716,35.1,null
Texas,Mitchell,0,8774,1647,18.8,null
Texas,Montague,0,19406,5647,29.1,null
Texas,Montgomery,97,535187,96577,18,996
Texas,Moore,3,22016,3264,14.8,1088
Texas,Morris,0,12530,3505,28,null
Texas,Motley,0,1114,354,31.8,null
Texas,Nacogdoches,27,65411,11946,18.3,442
Texas,Navarro,9,48239,10925,22.6,1214
Texas,Newton,0,14187,3871,27.3,null
Texas,Nolan,5,14990,3544,23.6,709
Texas,Nueces,115,358484,68411,19.1,595
Texas,Ochiltree,0,10484,1503,14.3,null
Texas,Oldham,0,2083,388,18.6,null
Texas,Orange,0,83909,17601,21,null
Texas,Palo Pinto,8,28109,7221,25.7,903
Texas,Panola,0,23574,5727,24.3,null
Texas,Parker,20,125963,26729,21.2,1336
Texas,Parmer,0,9871,1826,18.5,null
Texas,Pecos,0,15804,2754,17.4,null
Texas,Polk,8,46974,12746,27.1,1593
Texas,Potter,99,121230,19850,16.4,201
Texas,Presidio,0,7191,1986,27.6,null
Texas,Rains,0,11246,3375,30,null
Texas,Randall,0,130552,25788,19.8,null
Texas,Reagan,0,3735,608,16.3,null
Texas,Real,0,3358,1378,41,null
Texas,Red River,0,12353,3684,29.8,null
Texas,Reeves,0,14791,2482,16.8,null
Texas,Refugio,0,7293,1985,27.2,null
Texas,Roberts,0,889,255,28.7,null
Texas,Robertson,0,16727,4255,25.4,null
Texas,Rockwall,6,90414,14954,16.5,2492
Texas,Runnels,0,10266,2816,27.4,null
Texas,Rusk,0,53026,11467,21.6,null
Texas,Sabine,0,10429,3930,37.7,null
Texas,San Augustine,0,8403,2707,32.2,null
Texas,San Jacinto,0,27436,7726,28.2,null
Texas,San Patricio,0,66867,12717,19,null
Texas,San Saba,0,5851,1673,28.6,null
Texas,Schleicher,0,3122,711,22.8,null
Texas,Scurry,0,17346,3440,19.8,null
Texas,Shackelford,0,3348,781,23.3,null
Texas,Shelby,0,25689,5778,22.5,null
Texas,Sherman,0,3067,630,20.5,null
Texas,Smith,194,222277,47438,21.3,245
Texas,Somervell,0,8650,2134,24.7,null
Texas,Starr,0,63420,9636,15.2,null
Texas,Stephens,0,9365,2425,25.9,null
Texas,Sterling,0,1139,217,19.1,null
Texas,Stonewall,0,1084,369,34,null
Texas,Sutton,0,3894,904,23.2,null
Texas,Swisher,0,7541,1817,24.1,null
Texas,Tarrant,409,1983675,306980,15.5,751
Texas,Taylor,110,135371,25874,19.1,235
Texas,Terrell,0,721,282,39.1,null
Texas,Terry,0,12755,2635,20.7,null
Texas,Throckmorton,0,1541,518,33.6,null
Texas,Titus,8,32664,6098,18.7,762
Texas,Tom Green,29,116906,23527,20.1,811
Texas,Travis,294,1176584,160972,13.7,548
Texas,Trinity,0,14481,5058,34.9,null
Texas,Tyler,0,21456,5960,27.8,null
Texas,Upshur,0,40506,9637,23.8,null
Texas,Upton,0,3575,636,17.8,null
Texas,Uvalde,6,27015,6046,22.4,1008
Texas,Val Verde,7,48976,9283,19,1326
Texas,Van Zandt,0,53607,14526,27.1,null
Texas,Victoria,43,91518,19189,21,446
Texas,Walker,6,70818,11996,16.9,1999
Texas,Waller,0,48443,7862,16.2,null
Texas,Ward,0,11498,2149,18.7,null
Texas,Washington,5,34667,9303,26.8,1861
Texas,Webb,56,269624,34315,12.7,613
Texas,Wharton,4,41430,9080,21.9,2270
Texas,Wheeler,0,5599,1286,23,null
Texas,Wichita,24,131778,25521,19.4,1063
Texas,Wilbarger,0,12972,2900,22.4,null
Texas,Willacy,0,21839,3957,18.1,null
Texas,Williamson,90,508313,81426,16,905
Texas,Wilson,4,47205,10123,21.4,2531
Texas,Winkler,0,7777,1204,15.5,null
Texas,Wise,21,63247,13012,20.6,620
Texas,Wood,0,43315,14771,34.1,null
Texas,Yoakum,0,8481,1306,15.4,null
Texas,Young,0,18166,4758,26.2,null
Texas,Zapata,0,14415,2414,16.7,null
Texas,Zavala,0,12152,2252,18.5,null
Utah,Beaver,0,6414,1215,18.9,null
Utah,Box Elder,0,52182,9213,17.7,null
Utah,Cache,14,120288,15104,12.6,1079
Utah,Carbon,6,20512,4558,22.2,760
Utah,Daggett,0,702,156,22.2,null
Utah,Davis,22,334977,45623,13.6,2074
Utah,Duchesne,4,20259,3119,15.4,780
Utah,Emery,0,10410,2278,21.9,null
Utah,Garfield,0,5020,1314,26.2,null
Utah,Grand,0,9544,2258,23.7,null
Utah,Iron,6,48504,7853,16.2,1309
Utah,Juab,0,10694,1708,16,null
Utah,Kane,0,7246,2156,29.8,null
Utah,Millard,0,12651,2764,21.8,null
Utah,Morgan,0,11014,1842,16.7,null
Utah,Piute,0,1860,657,35.3,null
Utah,Rich,0,2307,491,21.3,null
Utah,Salt Lake,282,1106700,164497,14.9,583
Utah,San Juan,1,15193,2833,18.6,2833
Utah,Sanpete,0,28892,5043,17.5,null
Utah,Sevier,0,20961,4522,21.6,null
Utah,Summit,4,39731,6731,16.9,1683
Utah,Tooele,4,63357,8290,13.1,2073
Utah,Uintah,4,36343,4899,13.5,1225
Utah,Utah,122,576496,59457,10.3,487
Utah,Wasatch,0,29306,4220,14.4,null
Utah,Washington,32,155577,40002,25.7,1250
Utah,Wayne,0,2700,712,26.4,null
Utah,Weber,64,244101,38967,16,609
Vermont,Addison,0,36825,9459,25.7,null
Vermont,Bennington,10,36054,10413,28.9,1041
Vermont,Caledonia,4,30576,8308,27.2,2077
Vermont,Chittenden,46,160985,31691,19.7,689
Vermont,Essex,0,6203,2017,32.5,null
Vermont,Franklin,0,48816,10296,21.1,null
Vermont,Grand Isle,0,6950,1982,28.5,null
Vermont,Lamoille,0,25191,5651,22.4,null
Vermont,Orange,2,28901,7904,27.3,3952
Vermont,Orleans,5,26951,7930,29.4,1586
Vermont,Rutland,13,59676,16414,27.5,1263
Vermont,Washington,14,58691,15091,25.7,1078
Vermont,Windham,0,43332,12533,28.9,null
Vermont,Windsor,0,55485,16500,29.7,null
Virginia,Accomack,10,32840,9713,29.6,971
Virginia,Albemarle,12,105105,24260,23.1,2022
Virginia,Alleghany,10,15489,4783,30.9,478
Virginia,Amelia,0,12802,3301,25.8,null
Virginia,Amherst,0,31819,8552,26.9,null
Virginia,Appomattox,0,15462,4077,26.4,null
Virginia,Arlington,32,229534,32701,14.2,1022
Virginia,Augusta,12,74390,19681,26.5,1640
Virginia,Bath,0,4458,1200,26.9,null
Virginia,Bedford,6,77319,21440,27.7,3573
Virginia,Bland,0,6524,1834,28.1,null
Virginia,Botetourt,0,33149,9316,28.1,null
Virginia,Brunswick,0,16435,4495,27.4,null
Virginia,Buchanan,12,22611,6055,26.8,505
Virginia,Buckingham,0,17048,4020,23.6,null
Virginia,Campbell,0,55158,13887,25.2,null
Virginia,Caroline,0,29889,6464,21.6,null
Virginia,Carroll,0,29767,8816,29.6,null
Virginia,Charles City,0,7022,2156,30.7,null
Virginia,Charlotte,0,12176,3671,30.1,null
Virginia,Chesterfield,106,335594,65652,19.6,619
Virginia,Clarke,0,14331,3666,25.6,null
Virginia,Craig,0,5131,1476,28.8,null
Virginia,Culpeper,6,49795,10197,20.5,1700
Virginia,Cumberland,0,9797,2590,26.4,null
Virginia,Dickenson,0,15181,4171,27.5,null
Virginia,Dinwiddie,0,28033,6361,22.7,null
Virginia,Essex,7,11083,3102,28,443
Virginia,Fairfax,178,1142004,205097,18,1152
Virginia,Fauquier,8,68406,15267,22.3,1908
Virginia,Floyd,0,15594,4593,29.5,null
Virginia,Fluvanna,0,26109,6641,25.4,null
Virginia,Franklin,4,56277,16636,29.6,4159
Virginia,Frederick,0,83784,17641,21.1,null
Virginia,Giles,0,16867,4744,28.1,null
Virginia,Gloucester,7,37035,9239,24.9,1320
Virginia,Goochland,0,22148,6309,28.5,null
Virginia,Grayson,0,15708,4703,29.9,null
Virginia,Greene,0,19213,4356,22.7,null
Virginia,Greensville,0,11606,2403,20.7,null
Virginia,Halifax,12,35030,10489,29.9,874
Virginia,Hanover,24,103218,23448,22.7,977
Virginia,Henrico,53,324073,65204,20.1,1230
Virginia,Henry,0,51956,15335,29.5,null
Virginia,Highland,0,2213,1144,51.7,null
Virginia,Isle of Wight,0,36090,9254,25.6,null
Virginia,James City,26,73028,22611,31,870
Virginia,King and Queen,0,7052,2107,29.9,null
Virginia,King George,0,25564,4530,17.7,null
Virginia,King William,0,16329,3605,22.1,null
Virginia,Lancaster,0,10848,4693,43.3,null
Virginia,Lee,0,24428,6175,25.3,null
Virginia,Loudoun,33,374558,46809,12.5,1418
Virginia,Louisa,0,34813,9238,26.5,null
Virginia,Lunenburg,0,12369,3504,28.3,null
Virginia,Madison,0,13108,3779,28.8,null
Virginia,Mathews,0,8830,3293,37.3,null
Virginia,Mecklenburg,10,30959,9967,32.2,997
Virginia,Middlesex,0,10710,4271,39.9,null
Virginia,Montgomery,22,97692,16371,16.8,744
Virginia,Nelson,0,14863,5121,34.5,null
Virginia,New Kent,0,20523,4832,23.5,null
Virginia,Northampton,0,11998,4032,33.6,null
Virginia,Northumberland,0,12254,5416,44.2,null
Virginia,Nottoway,0,15537,3814,24.5,null
Virginia,Orange,0,35265,9382,26.6,null
Virginia,Page,0,23694,6578,27.8,null
Virginia,Patrick,0,17958,5697,31.7,null
Virginia,Pittsylvania,0,61970,17512,28.3,null
Virginia,Powhatan,0,28364,6652,23.5,null
Virginia,Prince Edward,8,22903,5017,21.9,627
Virginia,Prince George,0,37704,6858,18.2,null
Virginia,Prince William,24,450763,60739,13.5,2531
Virginia,Pulaski,8,34330,9988,29.1,1249
Virginia,Rappahannock,0,7359,2467,33.5,null
Virginia,Richmond,0,8873,2400,27,null
Virginia,Roanoke,0,93419,25341,27.1,null
Virginia,Rockbridge,0,22440,7345,32.7,null
Virginia,Rockingham,0,78653,18979,24.1,null
Virginia,Russell,5,27725,7582,27.3,1516
Virginia,Scott,0,22290,6831,30.6,null
Virginia,Shenandoah,0,42854,11604,27.1,null
Virginia,Smyth,4,31298,8800,28.1,2200
Virginia,Southampton,0,18089,4637,25.6,null
Virginia,Spotsylvania,12,130159,23288,17.9,1941
Virginia,Stafford,4,141159,19771,14,4943
Virginia,Surry,0,6670,1840,27.6,null
Virginia,Sussex,0,11595,2584,22.3,null
Virginia,Tazewell,12,42689,11682,27.4,974
Virginia,Warren,8,38991,8490,21.8,1061
Virginia,Washington,14,54457,15381,28.2,1099
Virginia,Westmoreland,0,17596,5792,32.9,null
Virginia,Wise,8,39539,9345,23.6,1168
Virginia,Wythe,6,29048,8014,27.6,1336
Virginia,York,0,67196,14070,20.9,null
Virginia,Alexandria City,40,154710,23816,15.4,595
Virginia,Bristol City,0,17077,4481,26.2,null
Virginia,Buena Vista City,0,6495,1486,22.9,null
Virginia,Charlottesville City,25,46487,6753,14.5,270
Virginia,Chesapeake City,28,235410,41793,17.8,1493
Virginia,Colonial Heights City,0,17582,4585,26.1,null
Virginia,Covington City,0,5675,1681,29.6,null
Virginia,Danville City,34,41911,11358,27.1,334
Virginia,Emporia City,7,5495,1252,22.8,179
Virginia,Fairfax City,0,23580,4687,19.9,null
Virginia,Falls Church City,0,13843,2660,19.2,null
Virginia,Franklin City,8,8334,2300,27.6,288
Virginia,Fredericksburg City,26,28135,4113,14.6,158
Virginia,Galax City,10,6788,2026,29.8,203
Virginia,Hampton City,24,136255,27165,19.9,1132
Virginia,Harrisonburg City,34,53064,6611,12.5,194
Virginia,Hopewell City,17,22353,4703,21,277
Virginia,Lexington City,0,7113,1303,18.3,null
Virginia,Lynchburg City,49,79237,14774,18.6,302
Virginia,Manassas City,11,41379,5755,13.9,523
Virginia,Manassas Park City,0,16117,1822,11.3,null
Virginia,Martinsville City,0,13256,3469,26.2,null
Virginia,Newport News City,88,180775,31311,17.3,356
Virginia,Norfolk City,113,245752,36773,15,325
Virginia,Norton City,11,4043,1034,25.6,94
Virginia,Petersburg City,28,32037,7475,23.3,267
Virginia,Poquoson City,0,12022,2958,24.6,null
Virginia,Portsmouth City,22,95536,19091,20,868
Virginia,Radford City,0,17380,2037,11.7,null
Virginia,Richmond City,159,220892,39776,18,250
Virginia,Roanoke City,71,99572,22026,22.1,310
Virginia,Salem City,36,25521,6421,25.2,178
Virginia,Staunton City,0,24273,6341,26.1,null
Virginia,Suffolk City,12,88057,17315,19.7,1443
Virginia,Virginia Beach City,50,450057,81616,18.1,1632
Virginia,Waynesboro City,0,21620,5038,23.3,null
Virginia,Williamsburg City,0,14817,2733,18.4,null
Virginia,Winchester City,48,27516,5865,21.3,122
Washington,Adams,0,19261,2912,15.1,null
Washington,Asotin,0,22259,6373,28.6,null
Washington,Benton,44,190529,37874,19.9,861
Washington,Chelan,20,75138,18408,24.5,920
Washington,Clallam,19,73439,26654,36.3,1403
Washington,Clark,90,457474,92850,20.3,1032
Washington,Columbia,0,3999,1371,34.3,null
Washington,Cowlitz,18,103590,26255,25.3,1459
Washington,Douglas,0,40585,9148,22.5,null
Washington,Ferry,0,7568,2554,33.7,null
Washington,Franklin,0,89124,11049,12.4,null
Washington,Garfield,0,2226,729,32.7,null
Washington,Grant,0,93420,17194,18.4,null
Washington,Grays Harbor,0,71454,19476,27.3,null
Washington,Island,6,80323,24585,30.6,4098
Washington,Jefferson,6,30524,13626,44.6,2271
Washington,King,450,2118119,386511,18.2,859
Washington,Kitsap,20,258903,59433,23,2972
Washington,Kittitas,6,43726,9312,21.3,1552
Washington,Klickitat,0,21172,6449,30.5,null
Washington,Lewis,6,76012,20549,27,3425
Washington,Lincoln,0,10344,3325,32.1,null
Washington,Mason,6,61569,18441,30,3074
Washington,Okanogan,0,41377,11602,28,null
Washington,Pacific,0,20940,8028,38.3,null
Washington,Pend Oreille,0,13066,4439,34,null
Washington,Pierce,189,845193,157501,18.6,833
Washington,San Juan,0,16221,6649,41,null
Washington,Skagit,18,121725,31915,26.2,1773
Washington,Skamania,0,11498,3238,28.2,null
Washington,Snohomish,72,771904,143234,18.6,1989
Washington,Spokane,113,490764,105082,21.4,930
Washington,Stevens,0,43858,13171,30,null
Washington,Thurston,72,269885,60028,22.2,834
Washington,Wahkiakum,0,4105,1698,41.4,null
Washington,Walla Walla,28,59862,13443,22.5,480
Washington,Whatcom,24,212738,47353,22.3,1973
Washington,Whitman,6,47794,6710,14,1118
Washington,Yakima,52,248279,44560,17.9,857
West Virginia,Barbour,0,16790,4433,26.4,null
West Virginia,Berkeley,20,111610,21894,19.6,1095
West Virginia,Boone,0,23236,5945,25.6,null
West Virginia,Braxton,0,14345,4105,28.6,null
West Virginia,Brooke,0,23067,6816,29.5,null
West Virginia,Cabell,88,96100,22787,23.7,259
West Virginia,Calhoun,0,7450,2279,30.6,null
West Virginia,Clay,0,8901,2226,25,null
West Virginia,Doddridge,0,8570,2461,28.7,null
West Virginia,Fayette,3,44602,12150,27.2,4050
West Virginia,Gilmer,0,8305,1817,21.9,null
West Virginia,Grant,3,11673,3470,29.7,1157
West Virginia,Greenbrier,12,35523,10528,29.6,877
West Virginia,Hampshire,0,23412,6811,29.1,null
West Virginia,Hancock,10,29921,8634,28.9,863
West Virginia,Hardy,0,13812,3692,26.7,null
West Virginia,Harrison,20,68438,17201,25.1,860
West Virginia,Jackson,0,29123,7844,26.9,null
West Virginia,Jefferson,5,55673,11916,21.4,2383
West Virginia,Kanawha,156,187827,49628,26.4,318
West Virginia,Lewis,6,16371,4386,26.8,731
West Virginia,Lincoln,0,21241,5184,24.4,null
West Virginia,Logan,12,34428,8559,24.9,713
West Virginia,McDowell,7,19707,5272,26.8,753
West Virginia,Marion,14,56575,14663,25.9,1047
West Virginia,Marshall,9,32006,9258,28.9,1029
West Virginia,Mason,5,27000,7153,26.5,1431
West Virginia,Mercer,29,60963,16998,27.9,586
West Virginia,Mineral,4,27421,7414,27,1854
West Virginia,Mingo,6,25150,6170,24.5,1028
West Virginia,Monongalia,119,103715,16742,16.1,141
West Virginia,Monroe,0,13517,4299,31.8,null
West Virginia,Morgan,0,17510,5135,29.3,null
West Virginia,Nicholas,0,25496,7413,29.1,null
West Virginia,Ohio,37,42906,12039,28.1,325
West Virginia,Pendleton,0,7138,2313,32.4,null
West Virginia,Pleasants,0,7527,1842,24.5,null
West Virginia,Pocahontas,0,8574,2770,32.3,null
West Virginia,Preston,0,33760,8739,25.9,null
West Virginia,Putnam,0,56644,13622,24,null
West Virginia,Raleigh,43,77097,20258,26.3,471
West Virginia,Randolph,0,29152,7914,27.1,null
West Virginia,Ritchie,0,10005,2814,28.1,null
West Virginia,Roane,0,14348,4117,28.7,null
West Virginia,Summers,0,13210,4109,31.1,null
West Virginia,Taylor,0,16977,4555,26.8,null
West Virginia,Tucker,0,7035,2245,31.9,null
West Virginia,Tyler,0,8949,2551,28.5,null
West Virginia,Upshur,4,24604,6359,25.8,1590
West Virginia,Wayne,0,41063,10695,26,null
West Virginia,Webster,0,8637,2560,29.6,null
West Virginia,Wetzel,5,15793,4523,28.6,905
West Virginia,Wirt,0,5800,1441,24.8,null
West Virginia,Wood,36,86016,22379,26,622
West Virginia,Wyoming,0,22130,6172,27.9,null
Wisconsin,Adams,0,20111,7417,36.9,null
Wisconsin,Ashland,0,15779,4029,25.5,null
Wisconsin,Barron,5,45358,12648,27.9,2530
Wisconsin,Bayfield,0,15004,5390,35.9,null
Wisconsin,Brown,60,258004,49706,19.3,828
Wisconsin,Buffalo,0,13243,3806,28.7,null
Wisconsin,Burnett,0,15239,5563,36.5,null
Wisconsin,Calumet,0,49737,9760,19.6,null
Wisconsin,Chippewa,6,63445,14882,23.5,2480
Wisconsin,Clark,0,34513,7761,22.5,null
Wisconsin,Columbia,10,56790,13488,23.8,1349
Wisconsin,Crawford,0,16313,4623,28.3,null
Wisconsin,Dane,39,522837,93985,18,2410
Wisconsin,Dodge,10,87833,20377,23.2,2038
Wisconsin,Door,4,27443,10267,37.4,2567
Wisconsin,Douglas,0,43503,10444,24,null
Wisconsin,Dunn,0,44260,9015,20.4,null
Wisconsin,Eau Claire,48,102388,20349,19.9,424
Wisconsin,Florence,0,4354,1446,33.2,null
Wisconsin,Fond du Lac,15,102082,24000,23.5,1600
Wisconsin,Forest,0,9035,2759,30.5,null
Wisconsin,Grant,0,51742,11571,22.4,null
Wisconsin,Green,6,36869,8908,24.2,1485
Wisconsin,Green Lake,5,18745,5437,29,1087
Wisconsin,Iowa,0,23576,5649,24,null
Wisconsin,Iron,0,5748,2170,37.8,null
Wisconsin,Jackson,0,20531,5137,25,null
Wisconsin,Jefferson,4,84586,18308,21.6,4577
Wisconsin,Juneau,0,26427,7133,27,null
Wisconsin,Kenosha,27,167886,31603,18.8,1170
Wisconsin,Kewaunee,0,20378,5256,25.8,null
Wisconsin,La Crosse,52,117582,24464,20.8,470
Wisconsin,Lafayette,0,16755,4075,24.3,null
Wisconsin,Langlade,4,19190,5568,29,1392
Wisconsin,Lincoln,0,27994,7702,27.5,null
Wisconsin,Manitowoc,16,79680,20684,26,1293
Wisconsin,Marathon,52,135293,30856,22.8,593
Wisconsin,Marinette,10,40712,12297,30.2,1230
Wisconsin,Marquette,0,15164,4784,31.5,null
Wisconsin,Menominee,0,4506,816,18.1,null
Wisconsin,Milwaukee,381,956586,173173,18.1,455
Wisconsin,Monroe,0,45303,10280,22.7,null
Wisconsin,Oconto,0,37465,10126,27,null
Wisconsin,Oneida,20,35352,11792,33.4,590
Wisconsin,Outagamie,64,183288,35410,19.3,553
Wisconsin,Ozaukee,46,87817,21950,25,477
Wisconsin,Pepin,0,7282,2115,29,null
Wisconsin,Pierce,0,41226,8070,19.6,null
Wisconsin,Polk,3,43328,11630,26.8,3877
Wisconsin,Portage,12,70371,15091,21.4,1258
Wisconsin,Price,4,13566,4514,33.3,1129
Wisconsin,Racine,33,195101,42061,21.6,1275
Wisconsin,Richland,4,17626,5148,29.2,1287
Wisconsin,Rock,33,161226,34912,21.7,1058
Wisconsin,Rusk,4,14211,4413,31.1,1103
Wisconsin,St. Croix,0,87142,16229,18.6,null
Wisconsin,Sauk,10,63340,15064,23.8,1506
Wisconsin,Sawyer,0,16384,5431,33.1,null
Wisconsin,Shawano,0,41136,11054,26.9,null
Wisconsin,Sheboygan,13,115094,27003,23.5,2077
Wisconsin,Taylor,0,20344,5080,25,null
Wisconsin,Trempealeau,0,29510,6978,23.6,null
Wisconsin,Vernon,0,30378,7781,25.6,null
Wisconsin,Vilas,10,21465,8398,39.1,840
Wisconsin,Walworth,16,102917,22640,22,1415
Wisconsin,Washburn,0,15638,5285,33.8,null
Wisconsin,Washington,12,133967,30378,22.7,2532
Wisconsin,Waukesha,64,396731,95193,24,1487
Wisconsin,Waupaca,4,51651,13904,26.9,3476
Wisconsin,Waushara,0,24170,7579,31.4,null
Wisconsin,Winnebago,26,169540,35586,21,1369
Wisconsin,Wood,27,73427,18838,25.7,698
Wyoming,Albany,4,37944,5887,15.5,1472
Wyoming,Big Horn,0,11920,3267,27.4,null
Wyoming,Campbell,14,48116,6482,13.5,463
Wyoming,Carbon,6,15689,3421,21.8,570
Wyoming,Converse,0,14166,2972,21,null
Wyoming,Crook,0,7347,1964,26.7,null
Wyoming,Fremont,12,40354,9748,24.2,812
Wyoming,Goshen,0,13479,3710,27.5,null
Wyoming,Hot Springs,0,4741,1646,34.7,null
Wyoming,Johnson,0,8562,2495,29.1,null
Wyoming,Laramie,15,97031,20072,20.7,1338
Wyoming,Lincoln,0,18791,4254,22.6,null
Wyoming,Natrona,14,81023,16036,19.8,1145
Wyoming,Niobrara,0,2479,625,25.2,null
Wyoming,Park,4,29276,8475,28.9,2119
Wyoming,Platte,0,8703,2755,31.7,null
Wyoming,Sheridan,11,29964,8337,27.8,758
Wyoming,Sublette,0,10037,2292,22.8,null
Wyoming,Sweetwater,10,44527,7015,15.8,702
Wyoming,Teton,6,22923,4298,18.7,716
Wyoming,Uinta,6,20758,3554,17.1,592
Wyoming,Washakie,0,8253,2206,26.7,null
Wyoming,Weston,0,7117,2073,29.1,null
