State,County,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed
Pennsylvania,Venango,8,52880,15253,28.8,1907
Pennsylvania,Warren,6,40345,11948,29.6,1991
Pennsylvania,Washington,50,207661,55472,26.7,1109
Pennsylvania,Wayne,8,51656,15447,29.9,1931
Pennsylvania,Westmoreland,51,356835,103773,29.1,2035
Pennsylvania,Wyoming,6,27760,7271,26.2,1212
Pennsylvania,York,60,442216,99386,22.5,1656
Rhode Island,Bristol,0,49028,12397,25.3,null
Rhode Island,Kent,15,164012,40477,24.7,2698
Rhode Island,Newport,10,83204,22925,27.6,2293
Rhode Island,Providence,237,633704,128527,20.3,542
Rhode Island,Washington,17,126190,33367,26.4,1963
South Carolina,Abbeville,6,24788,7042,28.4,1174
South Carolina,Aiken,35,165707,41209,24.9,1177
South Carolina,Allendale,0,9402,2374,25.2,null
South Carolina,Anderson,40,194174,45832,23.6,1146
South Carolina,Bamberg,0,14842,3897,26.3,null
South Carolina,Barnwell,0,21788,4999,22.9,null
South Carolina,Beaufort,24,179316,56939,31.8,2372
South Carolina,Berkeley,0,204632,37127,18.1,null
South Carolina,Calhoun,0,14808,4258,28.8,null
South Carolina,Charleston,221,387847,82073,21.2,371
South Carolina,Cherokee,12,56549,12263,21.7,1022
South Carolina,Chester,6,32424,7881,24.3,1314
South Carolina,Chesterfield,6,46127,10606,23,1768
South Carolina,Clarendon,6,34156,10223,29.9,1704
South Carolina,Colleton,8,37581,9996,26.6,1250
South Carolina,Darlington,12,67572,16204,24,1350
South Carolina,Dillon,6,31073,6605,21.3,1101
South Carolina,Dorchester,0,151716,28002,18.5,null
South Carolina,Edgefield,0,26620,6610,24.8,null
South Carolina,Fairfield,0,22868,6384,27.9,null
South Carolina,Florence,98,138537,30487,22,311
South Carolina,Georgetown,10,61065,20484,33.5,2048
South Carolina,Greenville,137,490332,100264,20.4,732
South Carolina,Greenwood,30,69981,16269,23.2,542
South Carolina,Hampton,6,20066,4776,23.8,796
South Carolina,Horry,100,310186,90290,29.1,903
South Carolina,Jasper,4,27465,6289,22.9,1572
South Carolina,Kershaw,10,63734,15574,24.4,1557
